Name,Color,Rarity,Total Observations in Card Packs,Total Times Picked Across Drafts,Average Draft Number,Number of Games Where Card in Maindeck,Percent of Games Where Card in Maindeck,Games Won with Card in Maindeck,Total Number of Opening Hand Plays,Games Won with Card in Opening Hand,Number of Times Drawn During Game,Games Won When Drawn During Game
Festering Gulch,,C,158838,39885,5.91,210879,87.70%,55.20%,38668,57.30%,48540,55.40%
Forlorn Flats,,C,173535,37911,6.69,187257,82.20%,54.70%,34245,56.60%,44134,54.90%
Jagged Barrens,,C,162632,33951,6.26,170459,84.20%,53.80%,31408,55.80%,41552,54.20%
Lonely Arroyo,,C,180671,35144,7.29,155624,74.60%,53.60%,28111,54.90%,38415,54.00%
Lush Oasis,,C,168011,37092,6.48,181965,81.50%,54.70%,33404,56.60%,43576,55.00%
Mirage Mesa,,C,284689,62331,6.05,355219,94.90%,54.60%,65918,56.40%,82462,52.80%
Sandstorm Verge,,U,153740,19098,10.3,49176,42.90%,54.40%,7964,54.00%,11216,54.80%
Soured Springs,,C,164645,37535,6.26,187893,84.10%,54.00%,34697,56.40%,48132,55.50%
Jace Reawakened,U,M,10329,3372,2.22,14541,76.50%,49.40%,2468,48.20%,4042,52.30%
Bucolic Ranch,,U,145632,23283,8.74,84212,59.40%,56.70%,14524,56.70%,18054,55.40%
Blooming Marsh,,R,44765,8854,5.29,38331,73.30%,53.30%,7100,55.50%,8844,52.10%
Botanical Sanctum,,R,46735,8220,5.72,30863,64.20%,52.70%,5775,54.70%,7554,51.90%
Concealed Courtyard,,R,47549,7982,5.89,30579,64.50%,53.70%,5702,56.00%,7045,52.30%
Inspiring Vantage,,R,47483,7388,5.84,27786,63.50%,53.70%,5235,53.80%,6018,51.40%
Spirebluff Canal,,R,48549,7231,6.11,24811,59.40%,50.40%,4517,53.50%,6334,50.60%
Stoneforge Mystic,W,M,3888,638,4.85,1142,30.30%,53.30%,184,,247,
Brazen Borrower,U,M,2074,902,2.18,4530,85.10%,53.60%,849,57.60%,1237,59.00%
Desertion,U,M,2778,852,3.05,4273,83.40%,53.90%,720,55.30%,1195,58.70%
Morbid Opportunist,B,M,1866,939,1.97,5210,93.80%,53.60%,877,57.10%,1309,56.80%
Port Razer,R,M,2919,435,,1571,62.30%,50.20%,239,,354,
Scapeshift,G,M,5917,697,8.57,89,2.10%,,14,,30,
Mystic Snake,UG,M,3804,787,4.48,2782,59.10%,52.40%,465,,719,56.90%
Notion Thief,UB,M,3823,701,4.67,1970,51.10%,45.20%,345,,538,49.40%
Desert,,M,3618,664,4.13,3131,80.20%,53.40%,530,55.10%,727,57.50%
Prismatic Vista,,M,2730,846,2.94,4891,97.40%,53.40%,926,52.50%,1138,52.50%
Collector's Cage,W,M,6164,4014,1.76,23278,93.20%,57.70%,4119,61.60%,5953,62.80%
Grand Abolisher,W,M,14529,2026,5.22,6127,51.60%,52.10%,1013,52.50%,1391,52.00%
Oltec Matterweaver,W,M,6184,3261,1.85,18160,91.70%,55.30%,3186,59.20%,4455,56.20%
Rest in Peace,W,M,23542,2807,9.29,69,0.40%,,7,,13,
Esoteric Duplicator,U,M,20456,2538,7.97,1216,8.20%,46.00%,211,,335,
Simulacrum Synthesizer,U,M,17912,2138,7.27,961,7.60%,46.40%,189,,276,
Worldwalker Helm,U,M,21189,2488,8.49,542,3.70%,45.20%,100,,133,
Greed's Gambit,B,M,19492,2432,7.44,2567,17.80%,50.90%,424,,665,52.00%
Harvester of Misery,B,M,5773,3689,1.67,20762,92.80%,55.70%,3594,57.70%,5460,62.60%
Hostile Investigator,B,M,5880,3970,1.69,23223,94.40%,57.00%,4135,62.60%,5936,62.10%
Generous Plunderer,R,M,9228,2703,2.75,14036,85.00%,55.10%,2552,62.20%,3253,55.90%
Legion Extruder,R,M,11117,2407,3.54,9761,68.80%,52.90%,1655,51.60%,2253,56.50%
Memory Vessel,R,M,23191,2722,9.04,207,1.30%,,38,,43,
Molten Duplication,R,M,18679,1903,7.76,1307,11.80%,47.40%,187,,320,
Territory Forge,R,M,22282,2560,9.04,239,1.60%,,41,,59,
Ancient Cornucopia,G,M,14046,2330,4.93,7656,56.30%,50.70%,1376,50.50%,1839,50.40%
Bristlebud Farmer,G,M,5154,3890,1.45,22983,94.60%,57.60%,3984,62.80%,5648,62.00%
Omenpath Journey,G,M,18328,2433,7.05,3638,25.40%,49.80%,614,47.70%,885,52.00%
